CAS,Name,Molecular Formulae,Molecular Weight
132259-10-0,Air,(N2)0.781 (O2)0.209 (Ar)0.01,28.96
7440-37-1,Argon,Ar,39.948
7726-95-6,Bromine,BrBr,159.808
56-23-5,Carbon tetrachloride,CCl4,153.8227
630-08-0,Carbon monoxide,CO,28.0101
124-38-9,Carbon dioxide,OCO,44.0095
75-15-0,Carbon disulfide,SCS,76.1407
75-44-5,Phosgene,COCl2,98.9161
76-02-8,Trichloroacetyl chloride,CCl3COCl,181.8328
7647-01-0,Hydrogen chloride,HCl,36.46094
7782-50-5,Chlorine,Cl2,70.906
10034-85-2,Hydrogen iodide,HI,127.9124
1333-74-0,Hydrogen,H2,2.01588
7732-18-5,Water,HOH,18.01528
04-06-7783,Hydrogen sulfide,HSH,34.08088
7664-41-7,Ammonia,NH3,17.03052
09-01-7440,Neon,Ne,20.1797
7697-37-2,Nitric acid,HNO3,63.01284
10102-43-9,Nitric oxide,NO,30.0061
10102-44-0,Nitrogen dioxide,ONO,46.0055
7727-37-9,Nitrogen,N2,28.0134
10024-97-2,Nitrous oxide,NON,44.0128
7782-44-7,Oxygen,O2,31.9988
05-09-7446,Sulfur dioxide,OSO,64.0638
09-11-7446,Sulfur trioxide,SO3,80.0632
67-66-3,Chloroform,CHCl3,119.3776
74-90-8,Hydrogen cyanide,HCN,27.02534
50-00-0,Formaldehyde,HCHO,30.02598
74-87-3,Methyl chloride,CH3Cl,50.48752
74-88-4,Methyl iodide,CH3I,141.939
74-82-8,Methane,CH4,16.04246
67-56-1,Methanol,CH3OH,32.04186
74-89-5,Methylamine,CH3NH2,31.0571
79-01-6,Trichloroethylene,CHClCCl2,131.3883
79-36-7,Dichloroacetyl chloride,CHCl2COCl,147.3877
75-87-6,Trichloroacetaldehyde,CCl3CHO,147.3877
74-86-2,Acetylene,HCCH,26.03728
79-02-7,Dichloroacetaldehyde,CHCl2CHO,112.9427
75-01-4,Vinyl chloride,CH2CHCl,62.49822
75-36-5,Acetyl chloride,CH3COCl,78.49762
79-00-5,"1,1,2-trichloroethane",CHCl2CH2Cl,133.4042
75-05-8,Acetonitrile,CH3CN,41.05192
74-85-1,Ethylene,CH2CH2,28.05316
75-34-3,"1,1-dichloroethane",CHCl2CH3,98.95916
107-06-2,"1,2-dichloroethane",CH2ClCH2Cl,98.95916
75-07-0,Acetaldehyde,CH3CHO,44.05256
75-21-8,Ethylene oxide,CH2OCH2,44.05256
64-19-7,Acetic acid,CH3COOH,60.05196
107-31-3,Methyl formate,HCOOCH3,60.05196
75-00-3,Ethyl chloride,CH3CH2Cl,64.5141
74-84-0,Ethane,CH3CH3,30.06904
64-17-5,Ethanol,CH3CH2OH,46.06844
115-10-6,Dimethyl ether,CH3OCH3,46.06844
107-21-1,Ethylene glycol,HOCH2CH2OH,62.06784
75-18-3,Dimethyl sulfide,(CH3)2S,62.13404
75-08-1,Ethyl mercaptan,CH3CH2SH,62.13404
75-04-7,Ethylamine,CH3CH2NH2,45.08368
107-13-1,Acrylonitrile,CH2CHCN,53.06262
74-99-7,Methylacetylene,CH3CCH,40.06386
463-49-0,Propadiene,CH2CCH2,40.06386
115-07-1,Propylene,CH2CHCH3,42.07974
67-64-1,Acetone,CH3COCH3,58.07914
109-94-4,Ethyl formate,HCOOCH2CH3,74.07854
79-20-9,Methyl acetate,CH3COOCH3,74.07854
79-09-4,Propionic acid,CH3CH2COOH,74.07854
68-12-2,"N,n-dimethylformamide",HCON(CH3)2,73.09378
74-98-6,Propane,CH3CH2CH3,44.09562
67-63-0,Isopropanol,CH3CH(OH)CH3,60.09502
71-23-8,1-propanol,CH3(CH2)2OH,60.09502
75-50-3,Trimethylamine,(CH3)3N,59.11026
689-97-4,Vinylacetylene,CH2CHCCH,52.07456
110-02-1,Thiophene,-S(CH)4-,84.13956
126-98-7,Methacrylonitrile,CH2C(CH3)CN,67.0892
503-17-3,Dimethylacetylene,CH3CCCH3,54.09044
107-00-6,Ethylacetylene,CH3CH2CCH,54.09044
590-19-2,"1,2-butadiene",CH2CCHCH3,54.09044
106-99-0,"1,3-butadiene",CH2CHCHCH2,54.09044
106-98-9,1-butene,CH2CHCH2CH3,56.10632
590-18-1,Cis-2-butene,CH3CHCHCH3,56.10632
624-64-6,Trans-2-butene,CH3CHCHCH3,56.10632
115-11-7,Isobutene,CH2C(CH3)2,56.10632
78-84-2,2-methylpropanal,CH3CH(CH3)CHO,72.10572
78-93-3,Methyl ethyl ketone,CH3COCH2CH3,72.10572
109-99-9,Tetrahydrofuran,-CH2CH2CH2CH2O-,72.10572
123-91-1,"1,4-dioxane",-OCH2CH2OCH2CH2-,88.10513
107-92-6,N-butyric acid,CH3CH2CH2COOH,88.10513
141-78-6,Ethyl acetate,CH3COOC2H5,88.10513
554-12-1,Methyl propionate,CH3CH2COOCH3,88.10513
110-74-7,N-propyl formate,HCOOCH2CH2CH3,88.10513
126-33-0,Sulfolane,-(CH2)2SO2(CH2)2-,120.1701
127-19-5,"N,n-dimethylacetamide",(CH3)2NCOCH3,87.12036
106-97-8,N-butane,CH3(CH2)2CH3,58.1222
75-28-5,Isobutane,CH3CH(CH3)CH3,58.1222
71-36-3,1-butanol,CH3(CH2)3OH,74.1216
78-83-1,2-methyl-1-propanol,(CH3)2CHCH2OH,74.1216
78-92-2,2-butanol,CH3CH2CH(OH)CH3,74.1216
75-65-0,2-methyl-2-propanol,C(CH3)3OH,74.1216
60-29-7,Diethyl ether,CH3CH2OCH2CH3,74.1216
111-46-6,Diethylene glycol,HOCH2CH2OCH2CH2OH,106.1204
109-89-7,Diethylamine,C2H5NHC2H5,73.13684
98-01-1,Furfural,(OC4H3)CHO,96.08406
110-86-1,Pyridine,-CHCHCHCHCHN-,79.0999
78-79-5,Isoprene,CH2C(CH3)CHCH2,68.11702
287-92-3,Cyclopentane,-(CH2)5-,70.1329
563-46-2,2-methyl-1-butene,CH2C(CH3)CH2CH3,70.1329
563-45-1,3-methyl-1-butene,CH2CHCH(CH3)CH3,70.1329
513-35-9,2-methyl-2-butene,CH3CHC(CH3)CH3,70.1329
109-67-1,1-pentene,CH2CH(CH2)2CH3,70.1329
627-20-3,Cis-2-pentene,CH3CHCHCH2CH3,70.1329
646-04-8,Trans-2-pentene,CH3CHCHCH2CH3,70.1329
96-22-0,3-pentanone,CH3CH2COCH2CH3,86.1323
563-80-4,Methyl isopropyl ketone,CH3CH(CH3)COCH3,86.1323
109-60-4,N-propyl acetate,CH3COO(CH2)2CH3,102.1317
78-78-4,Isopentane,CH3CH(CH3)CH2CH3,72.14878
109-66-0,N-pentane,CH3(CH2)3CH3,72.14878
463-82-1,Neopentane,C(CH3)4,72.14878
120-82-1,"1,2,4-trichlorobenzene",(C6H3)Cl3,181.447
541-73-1,M-dichlorobenzene,(C6H4)Cl2,147.002
95-50-1,O-dichlorobenzene,(C6H4)Cl2,147.002
106-46-7,P-dichlorobenzene,(C6H4)Cl2,147.002
108-86-1,Bromobenzene,(C6H5)Br,157.0079
108-90-7,Monochlorobenzene,C6H5Cl,112.5569
591-50-4,Iodobenzene,C6H5I,204.0084
98-95-3,Nitrobenzene,C6H5NO2,123.1094
71-43-2,Benzene,-CHCHCHCHCHCH-,78.11184
